text,severity
"Minor accident near road, log theek par shock mein",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
Bike accident thoda sa bleeding,MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
Bike accident thoda sa bleeding,MEDIUM
Bike accident thoda sa bleeding,MEDIUM
Bike accident thoda sa bleeding,MEDIUM
Bike accident thoda sa bleeding,MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
"Minor accident near road, log theek par shock mein",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
Bike accident thoda sa bleeding,MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Gir gaya seedhi se, haath me chot",MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
Bike accident thoda sa bleeding,MEDIUM
"Scooter slip hua, banda gir gaya knee chot",MEDIUM
"Gadi takkar maar gayi, halka injury",MEDIUM
Sadak par traffic jam,LOW
Kutta road pe so raha hai,LOW
Sadak par traffic jam,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Streetlight kaam nahi kar rahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Streetlight kaam nahi kar rahi,LOW
Sadak par traffic jam,LOW
Sadak par traffic jam,LOW
Water pipe leak ho raha,LOW
Electric wire latak raha par koi injury nahi,LOW
Sadak par traffic jam,LOW
Water pipe leak ho raha,LOW
Electric wire latak raha par koi injury nahi,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Streetlight kaam nahi kar rahi,LOW
Kutta road pe so raha hai,LOW
Streetlight kaam nahi kar rahi,LOW
Sadak par traffic jam,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Kutta road pe so raha hai,LOW
Sadak par traffic jam,LOW
Streetlight kaam nahi kar rahi,LOW
Streetlight kaam nahi kar rahi,LOW
Sadak par traffic jam,LOW
Streetlight kaam nahi kar rahi,LOW
Water pipe leak ho raha,LOW
Electric wire latak raha par koi injury nahi,LOW
Sadak par traffic jam,LOW
Kutta road pe so raha hai,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Kutta road pe so raha hai,LOW
Water pipe leak ho raha,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Kutta road pe so raha hai,LOW
Sadak par traffic jam,LOW
Streetlight kaam nahi kar rahi,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Kutta road pe so raha hai,LOW
Streetlight kaam nahi kar rahi,LOW
Kutta road pe so raha hai,LOW
Streetlight kaam nahi kar rahi,LOW
Streetlight kaam nahi kar rahi,LOW
Streetlight kaam nahi kar rahi,LOW
Streetlight kaam nahi kar rahi,LOW
Kutta road pe so raha hai,LOW
Electric wire latak raha par koi injury nahi,LOW
Sadak par traffic jam,LOW
Sadak par traffic jam,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Kutta road pe so raha hai,LOW
Electric wire latak raha par koi injury nahi,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Water pipe leak ho raha,LOW
Streetlight kaam nahi kar rahi,LOW
Kutta road pe so raha hai,LOW
Streetlight kaam nahi kar rahi,LOW
Streetlight kaam nahi kar rahi,LOW
Streetlight kaam nahi kar rahi,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Kutta road pe so raha hai,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Water pipe leak ho raha,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Electric wire latak raha par koi injury nahi,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Water pipe leak ho raha,LOW
Electric wire latak raha par koi injury nahi,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Kutta road pe so raha hai,LOW
Water pipe leak ho raha,LOW
Kutta road pe so raha hai,LOW
Streetlight kaam nahi kar rahi,LOW
Kutta road pe so raha hai,LOW
Water pipe leak ho raha,LOW
Kutta road pe so raha hai,LOW
Sadak par traffic jam,LOW
Sadak par traffic jam,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Kutta road pe so raha hai,LOW
Streetlight kaam nahi kar rahi,LOW
Streetlight kaam nahi kar rahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Streetlight kaam nahi kar rahi,LOW
Sadak par traffic jam,LOW
Streetlight kaam nahi kar rahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Kutta road pe so raha hai,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Streetlight kaam nahi kar rahi,LOW
Streetlight kaam nahi kar rahi,LOW
Streetlight kaam nahi kar rahi,LOW
Streetlight kaam nahi kar rahi,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Sadak par traffic jam,LOW
Sadak par traffic jam,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Kutta road pe so raha hai,LOW
Electric wire latak raha par koi injury nahi,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Streetlight kaam nahi kar rahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Kutta road pe so raha hai,LOW
Streetlight kaam nahi kar rahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Water pipe leak ho raha,LOW
Kutta road pe so raha hai,LOW
Streetlight kaam nahi kar rahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Streetlight kaam nahi kar rahi,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Kutta road pe so raha hai,LOW
Streetlight kaam nahi kar rahi,LOW
Streetlight kaam nahi kar rahi,LOW
Water pipe leak ho raha,LOW
Streetlight kaam nahi kar rahi,LOW
Streetlight kaam nahi kar rahi,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Kutta road pe so raha hai,LOW
Electric wire latak raha par koi injury nahi,LOW
Streetlight kaam nahi kar rahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Kutta road pe so raha hai,LOW
Streetlight kaam nahi kar rahi,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Streetlight kaam nahi kar rahi,LOW
Streetlight kaam nahi kar rahi,LOW
Sadak par traffic jam,LOW
Streetlight kaam nahi kar rahi,LOW
Streetlight kaam nahi kar rahi,LOW
Sadak par traffic jam,LOW
Streetlight kaam nahi kar rahi,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Streetlight kaam nahi kar rahi,LOW
Sadak par traffic jam,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Sadak par traffic jam,LOW
Streetlight kaam nahi kar rahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Electric wire latak raha par koi injury nahi,LOW
Streetlight kaam nahi kar rahi,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Sadak par traffic jam,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Water pipe leak ho raha,LOW
Electric wire latak raha par koi injury nahi,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Streetlight kaam nahi kar rahi,LOW
Kutta road pe so raha hai,LOW
Electric wire latak raha par koi injury nahi,LOW
Streetlight kaam nahi kar rahi,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Sadak par traffic jam,LOW
Kutta road pe so raha hai,LOW
Sadak par traffic jam,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Streetlight kaam nahi kar rahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Kutta road pe so raha hai,LOW
Electric wire latak raha par koi injury nahi,LOW
Streetlight kaam nahi kar rahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Streetlight kaam nahi kar rahi,LOW
Sadak par traffic jam,LOW
Streetlight kaam nahi kar rahi,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Electric wire latak raha par koi injury nahi,LOW
Streetlight kaam nahi kar rahi,LOW
Kutta road pe so raha hai,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Sadak par traffic jam,LOW
Water pipe leak ho raha,LOW
Electric wire latak raha par koi injury nahi,LOW
Water pipe leak ho raha,LOW
Streetlight kaam nahi kar rahi,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Streetlight kaam nahi kar rahi,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Kutta road pe so raha hai,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Streetlight kaam nahi kar rahi,LOW
Sadak par traffic jam,LOW
Water pipe leak ho raha,LOW
Kutta road pe so raha hai,LOW
Streetlight kaam nahi kar rahi,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Sadak par traffic jam,LOW
Kutta road pe so raha hai,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Kutta road pe so raha hai,LOW
Streetlight kaam nahi kar rahi,LOW
Streetlight kaam nahi kar rahi,LOW
Kutta road pe so raha hai,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Kutta road pe so raha hai,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Sadak par traffic jam,LOW
Sadak par traffic jam,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Water pipe leak ho raha,LOW
Streetlight kaam nahi kar rahi,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Streetlight kaam nahi kar rahi,LOW
Streetlight kaam nahi kar rahi,LOW
Kutta road pe so raha hai,LOW
Kutta road pe so raha hai,LOW
Sadak par traffic jam,LOW
Water pipe leak ho raha,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Sadak par traffic jam,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
Sadak par traffic jam,LOW
Sadak par traffic jam,LOW
Electric wire latak raha par koi injury nahi,LOW
Streetlight kaam nahi kar rahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Water pipe leak ho raha,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Electric wire latak raha par koi injury nahi,LOW
Sadak par traffic jam,LOW
Kutta road pe so raha hai,LOW
Streetlight kaam nahi kar rahi,LOW
Kutta road pe so raha hai,LOW
Electric wire latak raha par koi injury nahi,LOW
Streetlight kaam nahi kar rahi,LOW
Water pipe leak ho raha,LOW
Water pipe leak ho raha,LOW
Sadak par traffic jam,LOW
